USERNAME,TIME,REVIEW,text_clean,text_normalized,label
DJ Bellavie,a year ago,"the service is good, the people are friendly, the product is also okay",the service is good the people are friendly the product is also okay,the service is good the people are friendly the product is also okay,Positif
Gadis Fitria sari,a year ago,my favorite perfume...always love the scent,my favorite perfume always love the scent,my favorite perfume always love the scent,Positif
Faiz lukman Hakim,a year ago,It's not good enough if you respond to customers whose perfume recommendations are also not good enough,it s not good enough if you respond to customers whose perfume recommendations are also not good enough,it s not good enough if you respond to customers whose perfume recommendations are also not good enough,Netral
Hakim yudhistira,a year ago,"The best perfume, the fragrance is great",the best perfume the fragrance is great,the best perfume the fragrance is great,Positif
nabillaa putrii,a year ago,"good, friendly",good friendly,good friendly,Positif
Sekar Sayekti,a year ago,Great scent,great scent,great scent,Positif
stvns _ch,a year ago,SO COOLâ¤ï¸â¤ï¸â¤ï¸ THE EMPLOYEES ARE FRIENDLY 10/10,so coolâ ï â ï â ï the employees are friendly,so coolâ ï â ï â ï the employees are friendly,Positif
Devrita Irenike,a year ago,Favorite perfume.. There's always a bonus every time you buy at Matos,favorite perfume there s always a bonus every time you buy at matos,favorite perfume there s always a bonus every time you buy at matos,Positif
ABDUN ABDIERA,a year ago,"The perfume is delicious, best seller, recommended.",the perfume is delicious best seller recommended,the perfume is delicious best seller recommended,Positif
salsabila asshifa,a year ago,"I'm so happy to buy perfume here, I can play free games and get free body wash/perfume!!!",i m so happy to buy perfume here i can play free games and get free body wash perfume,i m so happy to buy perfume here i can play free games and get free body wash perfume,Positif
aristy juniar,a year ago,"The service is very good, the perfume is also very nice and long lasting",the service is very good the perfume is also very nice and long lasting,the service is very good the perfume is also very nice and long lasting,Positif
nur shinta,a year ago,Always repurchase here!! The fragrance is quite long-lasting with an affordable price.,always repurchase here the fragrance is quite long lasting with an affordable price,always repurchase here the fragrance is quite long lasting with an affordable price,Positif
Maya dwi Ermiliya,a year ago,"The service is good, the ladies are friendly",the service is good the ladies are friendly,the service is good the ladies are friendly,Positif
Lovely Cutes,a year ago,"Very friendly staff!! Good service, patiently waiting for customers",very friendly staff good service patiently waiting for customers,very friendly staff good service patiently waiting for customers,Positif
Farencia Diah,a year ago,The service is really great.,the service is really great,the service is really great,Positif
D Holidays,a year ago,Very fragrant.,very fragrant,very fragrant,Positif
Inggar Dwi Pangestu,a year ago,"I really recommend the perfume here, the smell lasts a long time",i really recommend the perfume here the smell lasts a long time,i really recommend the perfume here the smell lasts a long time,Netral
acel.,a year ago,"Friendly service, the perfume is the best âœ¨âœ¨",friendly service the perfume is the best âœ âœ,friendly service the perfume is the best âœ âœ,Positif
Abi Wahyu,a year ago,There's no doubt about the heaven scent,there s no doubt about the heaven scent,there s no doubt about the heaven scent,Netral
Muhammad Anugrah Ramadhan,a year ago,The perfume is very good,the perfume is very good,the perfume is very good,Positif
Helma Chika Oktaviani,a year ago,"Just bought perfume here, the service is good, got another free perfume, really cool",just bought perfume here the service is good got another free perfume really cool,just bought perfume here the service is good got another free perfume really cool,Positif
Geizha nathania,a year ago,will subscribe to,will subscribe to,will subscribe to,Netral
Andika Maulana,a year ago,good experience!,good experience,good experience,Positif
Akhmad Ghordy,a year ago,"Buy 2 perfumes and get 1 free when playing roulette, haha",buy perfumes and get free when playing roulette haha,buy perfumes and get free when playing roulette,Netral
vgxisbÂ¿,a year ago,The perfume smells long lasting too,the perfume smells long lasting too,the perfume smells long lasting too,Positif
Adelia Anindita Sumantri,a year ago,Highly recommended for those looking for perfume!,highly recommended for those looking for perfume,highly recommended for those looking for perfume,Positif
Dyah Wahyu,a year ago,Good service ðŸ”¥ â€¦,good service ðÿ â,good service ðÿ â,Positif
Muhammad Nafil,a year ago,"Cool, good and friendly service",cool good and friendly service,cool good and friendly service,Positif
chusnatul ulaela,a year ago,"Good service, long lasting perfume",good service long lasting perfume,good service long lasting perfume,Positif
Nurdiansyah Saputra,a year ago,"Comfortable place, long lasting perfume, good service",comfortable place long lasting perfume good service,comfortable place long lasting perfume good service,Positif
Arini Rosyadi,a year ago,"The service is friendly, and the fragrances are very varied. First time buying and getting a promo, yay ðŸ˜ â€¦",the service is friendly and the fragrances are very varied first time buying and getting a promo yay ðÿ â,the service is friendly and the fragrances are very varied first time buying and getting a promo yay ðÿ â,Positif
Nadiippp,a year ago,The smell of the perfume is highly recommendedðŸ˜ â€¦,the smell of the perfume is highly recommendedðÿ â,the smell of the perfume is highly recommendedðÿ â,Positif
Febry Arya Setya Wibawa,a year ago,the fragrance lasts long,the fragrance lasts long,the fragrance lasts long,Netral
JIYAD HILAL HAWARI,a year ago,The aroma is really delicious,the aroma is really delicious,the aroma is really delicious,Positif
Ainur Azis,a year ago,Always a favorite to buy the best perfume,always a favorite to buy the best perfume,always a favorite to buy the best perfume,Positif
Intan Febrianti,a year ago,"So, so, so disappointed!!!ðŸ¤¬ðŸ¤¬",so so so disappointed ðÿ ðÿ,so so so disappointed ðÿ ðÿ,Negatif
Maisaroh dairypro,a year ago,The perfume is really good.....recommended,the perfume is really good recommended,the perfume is really good recommended,Positif
10_14_Yunita Dwi Lestari,a year ago,"Good, friendly service",good friendly service,good friendly service,Positif
dinun arzana,a year ago,"Good, lots of choices",good lots of choices,good lots of choices,Positif
marka narendra,a year ago,"worth the price, fragrant",worth the price fragrant,sepadan the price fragrant,Positif
hana attaumi,a year ago,ðŸ¤ðŸ¤ðŸ¤ðŸ¤ðŸ¤ðŸ¤ â€¦,ðÿ ðÿ ðÿ ðÿ ðÿ ðÿ â,ðÿ ðÿ ðÿ ðÿ ðÿ ðÿ â,Netral
yurike kunardewi,a year ago,"Friendly service, and requests for more than two testers are still accepted. Success and growing sales, sis.",friendly service and requests for more than two testers are still accepted success and growing sales sis,friendly service and requests for more than two testers are still accepted success and growing sales sis,Positif
Dewaputra 1986,a year ago,"Friendly, fast service...",friendly fast service,friendly fast service,Positif
Calvin,a year ago,"I really enjoyed shopping for perfume here. The service is excellent, friendly, and very good. The perfume is highly recommended and won't break the bank. The scent is perfect for everyday use, picking up kids from school, social gatherings, or just hanging out at the mall and shopping at the supermarket.",i really enjoyed shopping for perfume here the service is excellent friendly and very good the perfume is highly recommended and won t break the bank the scent is perfect for everyday use picking up kids from school social gatherings or just hanging out at the mall and shopping at the supermarket,i really enjoyed shopping for perfume here the service is excellent friendly and very good the perfume is highly recommended and won t break the bank the scent is perfect for everyday use picking up kids from school social gatherings or just hanging out at the mall and shopping at the supermarket,Positif
Reza Herma,a year ago,"This is my first time buying here, and I immediately fell in love with the Halloween and Her products. I'm a regular, but I hope they last. Keep up the good work, HS.",this is my first time buying here and i immediately fell in love with the halloween and her products i m a regular but i hope they last keep up the good work hs,this is my first time buying here and i immediately fell in love with the halloween and her products i m a regular but i hope they last keep up the good work hs,Positif
Selsa Bathari Trixie Tsabita,a year ago,the service is great! beautiful brother,the service is great beautiful brother,the service is great beautiful brother,Positif
Arino Theara,a year ago,"Very helpful staff, first time ever buy perfume here and they leave a good impression.",very helpful staff first time ever buy perfume here and they leave a good impression,very helpful staff first time ever buy perfume here and they leave a good impression,Positif
Anma,a year ago,Nice place to buy perfumeâœ¨âœ¨,nice place to buy perfumeâœ âœ,nice place to buy perfumeâœ âœ,Positif
Izzah Rahilatissafira,a year ago,5 star service,star service,star service,Netral
Endah Priyanti,a year ago,"Great, bro, friendly, Poul",great bro friendly poul,great bro friendly poul,Positif
Mesri Ayu Ningsih,a year ago,"Thank you, bro, the service is great, highly recommendedâ¤ï¸",thank you bro the service is great highly recommendedâ ï,thank you bro the service is great highly recommendedâ ï,Positif
uci wulandari,a year ago,"They said it lasts a long time, I bought the 180 thousand one, but after a few hours there was no smell. I told my friend that I bought a perfume that cost 180k. She said ""hahhhh it's really expensive"". The sales lady was also not very â€¦",they said it lasts a long time i bought the thousand one but after a few hours there was no smell i told my friend that i bought a perfume that cost k she said hahh it s really expensive the sales lady was also not very â,they said it lasts a long time i bought the thousand one but after a few hours there was no smell i told my friend that i bought a perfume that cost k she said hahh it s really expensive the sales lady was also not very â,Negatif
Salsabella Aurelia,a year ago,I've bought the expensive one but the smell doesn't last long even though they say it lasts a long time,i ve bought the expensive one but the smell doesn t last long even though they say it lasts a long time,i ve bought the expensive one but the smell doesn t last long even though they say it lasts a long time,Negatif
Dita Amanda,a year ago,"The smell doesn't last, just spray it and the smell is gone, the price is 180k but it's not worth it at all",the smell doesn t last just spray it and the smell is gone the price is k but it s not worth it at all,the smell doesn t last just spray it and the smell is gone the price is k but it s not sepadan it at all,Netral
Khamidatur R,a year ago,"not durable but expensive, not worth it.",not durable but expensive not worth it,not durable but expensive not sepadan it,Negatif
Muhammad Rafi,a year ago,"good service, keep it upðŸ˜ â€¦",good service keep it upðÿ â,good service keep it upðÿ â,Positif
Yuana Yuant,a year ago,Ramahhh2 mbk nya,ramahh mbk nya,ramahh mbk nya,Netral
Irma Rahmadania,a year ago,delicious lol,delicious lol,delicious,Positif
Ulfatuzz Zahroh,a year ago,"good service, good recom, good comunication",good service good recom good comunication,good service good recom good comunication,Positif
Ema lenita Anjelina,a year ago,Highly recommended,highly recommended,highly recommended,Positif
Hafizh A.,a year ago,"The quality of the perfume is good, the service is also friendly and goodðŸ‘ðŸ‘ðŸ‘ â€¦",the quality of the perfume is good the service is also friendly and goodðÿ ðÿ ðÿ â,the quality of the perfume is good the service is also friendly and goodðÿ ðÿ ðÿ â,Positif
Gabriella Caroline,a year ago,"""The variants are delicious""",the variants are delicious,the variants are delicious,Positif
Elisabeth Apriliani,a year ago,"The perfume is really great and smells great, there are lots of choices too, it's really greatðŸ¤©ðŸ¤© â€¦",the perfume is really great and smells great there are lots of choices too it s really greatðÿ ðÿ â,the perfume is really great and smells great there are lots of choices too it s really greatðÿ ðÿ â,Positif
Vindy Maulinna,a year ago,"The perfume is nice, the service is friendly",the perfume is nice the service is friendly,the perfume is nice the service is friendly,Positif
308_Hilda Urliajs,a year ago,"The lady is really fun, there are lots of choices of perfume that we want and the perfume that we choose is right. Just tell us what kind of perfume scent you want.",the lady is really fun there are lots of choices of perfume that we want and the perfume that we choose is right just tell us what kind of perfume scent you want,the lady is really fun there are lots of choices of perfume that we want and the perfume that we choose is right just tell us what kind of perfume scent you want,Netral
Hardya Ariyadi,a year ago,"The place is clean and very aesthetic, plus the ladies are really friendly",the place is clean and very aesthetic plus the ladies are really friendly,the place is clean and very aesthetic plus the ladies are really friendly,Positif
Della Friska Dewanti,a year ago,"The perfume is addictive, the service is good",the perfume is addictive the service is good,the perfume is addictive the service is good,Positif
twisty henras,a year ago,Complete perfume store,complete perfume store,complete perfume store,Positif
Bella SAN,a year ago,LOVE IT SO MUCH!!!,love it so much,love it so much,Positif
Deni Pratama,a year ago,"The service is friendly, there are lots of perfume variants tooðŸ”¥ â€¦",the service is friendly there are lots of perfume variants tooðÿ â,the service is friendly there are lots of perfume variants tooðÿ â,Positif
fatimah azzahra,a year ago,The service is really good and it smells good too,the service is really good and it smells good too,the service is really good and it smells good too,Positif
Muhammad Munir,a year ago,Playanan very good,playanan very good,playanan very good,Positif
Ferdinand Rio,a year ago,the best perfume place in Malang,the best perfume place in malang,the best perfume place in malang,Positif
Rani Ariefah,a year ago,Fast service...friendly...go ahead and buy perfume here,fast service friendly go ahead and buy perfume here,fast service friendly go ahead and buy perfume here,Positif
Muchammad Ryan Afif,a year ago,"friendly service, nice smell, quite varied",friendly service nice smell quite varied,friendly service nice smell quite varied,Positif
erlang jeuram niaga,13 hours ago,Friendly and smiling service. Very fast response.,friendly and smiling service very fast response,friendly and smiling service very fast response,Positif
hayat Mukhtar,17 hours ago,Best service...best perfume...best Nichol service...ready to explain everything you ask,best service best perfume best nichol service ready to explain everything you ask,best service best perfume best nichol service ready to explain everything you ask,Positif
nurul akmar nutman akmar,17 hours ago,Perfect smell!!!,perfect smell,perfect smell,Positif
Pasukan Bawang,17 hours ago,HMNS the only best perfume in universe.,hmns the only best perfume in universe,hmns the only best perfume in universe,Positif
Amir Haha,17 hours ago,the best perfume indonesian ever made. HMNS is my soul.,the best perfume indonesian ever made hmns is my soul,the best perfume indonesian ever made hmns is my soul,Positif
Rizky Hidayat,18 hours ago,A seamless experience buying a perfume at this offline store. Nichol the guy serving me today was very hospitable and welcoming! Thank you,a seamless experience buying a perfume at this offline store nichol the guy serving me today was very hospitable and welcoming thank you,a seamless experience buying a perfume at this offline store nichol the guy serving me today was very hospitable and welcoming thank you,Netral
Hafiz Irshad,a day ago,"The experience is very good, the smell is long lasting, the price is okay. Highly recommend, it's superb!!",the experience is very good the smell is long lasting the price is okay highly recommend it s superb,the experience is very good the smell is long lasting the price is okay highly recommend it s superb,Positif
Virgo Hando,a day ago,It smells good...and the service from Kak Agri is really good...it really sells well,it smells good and the service from kak agri is really good it really sells well,it smells good and the service from kak agri is really good it really sells well,Positif
Azura Rahim,a day ago,"Good services.Agrea, very friendly & helpful service",good services agrea very friendly helpful service,good services agrea very friendly helpful service,Positif
Hafiz Hamid,3 days ago,Staff very friendly! Thanks to Hafis for entertaining me and wife. Pray for the best! Thank you again ,staff very friendly thanks to hafis for entertaining me and wife pray for the best thank you again,staff very friendly thanks to hafis for entertaining me and wife pray for the best thank you again,Positif
Laurentco,a week ago,"The service was very friendly, and the lady helped explain the products clearly. The display area was neat and complete.",the service was very friendly and the lady helped explain the products clearly the display area was neat and complete,the service was very friendly and the lady helped explain the products clearly the display area was neat and complete,Positif
Yohanes Edward,a week ago,"Great service, Good quality",great service good quality,great service good quality,Positif
Sofian Sudirman,a week ago,"Very good experience, very helpful especially Nichol! Mantap!",very good experience very helpful especially nichol mantap,very good experience very helpful especially nichol mantap,Positif
Dita Anggraeni,a week ago,"An exceptional shopping experience at HMNS Jakarta. The staff was incredibly helpfulâ€”offering recommendations that perfectly matched my taste. Friendly, knowledgeable, and made the whole process enjoyable. Highly recommended! âœ¨",an exceptional shopping experience at hmns jakarta the staff was incredibly helpfulâ offering recommendations that perfectly matched my taste friendly knowledgeable and made the whole process enjoyable highly recommended âœ,an exceptional shopping experience at hmns jakarta the staff was incredibly helpfulâ offering recommendations that perfectly matched my taste friendly knowledgeable and made the whole process enjoyable highly recommended âœ,Positif
enny zaki,a week ago,Good service..... Very friendly..... Nice smell we bought 12 item....,good service very friendly nice smell we bought item,good service very friendly nice smell we bought item,Positif
Suryani Haron,a week ago,good customer serviceðŸ‘ðŸ½ðŸ‘ðŸ½ðŸ‘ðŸ½ â€¦,good customer serviceðÿ ðÿ ½ðÿ ðÿ ½ðÿ ðÿ ½ â,good customer serviceðÿ ðÿ ½ðÿ ðÿ ½ðÿ ðÿ ½ â,Positif
Farhani Aqilah,a week ago,Smell so good. The seller so nice.,smell so good the seller so nice,smell so good the seller so nice,Positif
Evana Ardelia Rein,2 weeks ago,"Friendly service, very helpful, thank you Mba Agry and Mba Aulia",friendly service very helpful thank you mba agry and mba aulia,friendly service very helpful thank you mba agry and mba aulia,Positif
Faradilla Kamarulkhizan,2 weeks ago,Good service ðŸ‘ðŸ‘ðŸ‘ðŸ‘ â€¦,good service ðÿ ðÿ ðÿ ðÿ â,good service ðÿ ðÿ ðÿ ðÿ â,Positif
Devia Ksyaw,3 weeks ago,masss nicholl very good the bestt,mass nicholl very good the bestt,mass nicholl very good the bestt,Positif
pindi nurjunifar,a month ago,"I really like the scent, I've repurchased it many times and I really like it. I was served by Agry, she was very friendly and very informative, I really love AgryðŸ’™ â€¦",i really like the scent i ve repurchased it many times and i really like it i was served by agry she was very friendly and very informative i really love agryðÿ â,i really like the scent i ve repurchased it many times and i really like it i was served by agry she was very friendly and very informative i really love agryðÿ â,Positif
astromoonstars,a month ago,The fragrances are varied and last for 6-8 hours. Agry's service is very informative and very friendly. ðŸ«¶ðŸ» â€¦,the fragrances are varied and last for hours agry s service is very informative and very friendly ðÿ ðÿ â,the fragrances are varied and last for hours agry s service is very informative and very friendly ðÿ ðÿ â,Positif
Ameer Haikal,a month ago,Excellent service from the staff. Superb,excellent service from the staff superb,excellent service from the staff superb,Positif
Ina Wijaya,a month ago,Meet with the friendly person at the store...SUCCESS.,meet with the friendly person at the store success,meet with the friendly person at the store success,Positif
Alba,a month ago,"Thank you for your assistance and kindness dear kak Nichol and kak Aul. Xoxo, Becky ðŸ«¶ â€¦",thank you for your assistance and kindness dear kak nichol and kak aul xoxo becky ðÿ â,thank you for your assistance and kindness dear kak nichol and kak aul xoxo becky ðÿ â,Netral
Retno Triwijayanti,a month ago,"The staff were very helpful and informative, and they were really cool. ðŸ‘ðŸ¼",the staff were very helpful and informative and they were really cool ðÿ ðÿ ¼,the staff were very helpful and informative and they were really cool ðÿ ðÿ ¼,Positif
Angela Roberto,a month ago,"Plus, you'll get a linen spray sample, a pouch voucher, and free perfume. Go local! ðŸ¤ â€¦",plus you ll get a linen spray sample a pouch voucher and free perfume go local ðÿ â,plus you ll get a linen spray sample a pouch voucher and free perfume go local ðÿ â,Netral
crohmosphere,a month ago,"HIGHLY RECOMMENDED, THE MASTERS ARE VERY FRIENDLY ðŸ˜˜ðŸ˜˜ðŸ˜˜ really allowed to try to use as many as possible so you know which one to buy, the price was also very surprising because it was still cheap?? in shopee the price is around 300, here it â€¦",highly recommended the masters are very friendly ðÿ ðÿ ðÿ really allowed to try to use as many as possible so you know which one to buy the price was also very surprising because it was still cheap in shopee the price is around here it â,highly recommended the masters are very friendly ðÿ ðÿ ðÿ really allowed to try to use as many as possible so you know which one to buy the price was also very surprising because it was still cheap in shopee the price is around here it â,Positif
Afif Azfar,a month ago,BEST GILA SHOPPING,best gila shopping,best gila shopping,Positif
Henrick Boen,a month ago,"great service, nice parfume collection ðŸ¤ðŸ’œ â€¦",great service nice parfume collection ðÿ ðÿ œ â,great service nice parfume collection ðÿ ðÿ œ â,Positif
Shahira Syahidah,a month ago,staff very friendly ðŸ‘ðŸ» â€¦,staff very friendly ðÿ ðÿ â,staff very friendly ðÿ ðÿ â,Positif
Amirul Amrey,a month ago,Best service ever â¤ï¸â¤ï¸,best service ever â ï â ï,best service ever â ï â ï,Positif
Jazlan Ahmad,a month ago,"Great service, nice offer, recommended!",great service nice offer recommended,great service nice offer recommended,Positif
Naufal Fajrian,a month ago,"Great, the service is good, recommended, you must come here",great the service is good recommended you must come here,great the service is good recommended you must come here,Positif
G L,a month ago,Nabil great job,nabil great job,nabil great job,Positif
Nadya Nathalia,a month ago,Beli Alpha sama Sore fragrance mist.. love the smell!,beli alpha sama sore fragrance mist love the smell,beli alpha sama sore fragrance mist love the smell,Positif
Roselin Agustina,a month ago,My fave unrosed.. You have to try,my fave unrosed you have to try,my fave unrosed you have to try,Netral
fatihah zumara,2 months ago,"First time coming to Jakarta because there are lots of viral items, and then I saw someone reviewing them on TikTok and then I came here because I was feeling FOMO, wkkk",first time coming to jakarta because there are lots of viral items and then i saw someone reviewing them on tiktok and then i came here because i was feeling fomo wkk,first time coming to jakarta because there are lots of viral items and then i saw someone reviewing them on tiktok and then i came here because i was feeling fomo wkk,Netral
Nur Adilah,2 months ago,The perfume is very fragrant!! The staff here are very friendly and helpful,the perfume is very fragrant the staff here are very friendly and helpful,the perfume is very fragrant the staff here are very friendly and helpful,Positif
Muhammad Nabil,2 months ago,"Cheap perfume and it smells great, just go ahead, recommend staff name Aulia",cheap perfume and it smells great just go ahead recommend staff name aulia,cheap perfume and it smells great just go ahead recommend staff name aulia,Positif
Nurul Fattahiah,2 months ago,"The perfume here is the best! The staff, Aulia, is very kind! Service 5â­",the perfume here is the best the staff aulia is very kind service â,the perfume here is the best the staff aulia is very kind service â,Positif
NORIYAH BINTI ZAKARIA (MOHR),2 months ago,Nichol as the salesmen explained very well,nichol as the salesmen explained very well,nichol as the salesmen explained very well,Netral
Aishah Abdullah,2 months ago,The best perfume ever n also the best service ever,the best perfume ever n also the best service ever,the best perfume ever n also the best service ever,Positif
Nugroho Prananto,2 months ago,"favorite perfume shop, have bought here several times and always satisfied, friendly service, and the perfume is long lasting and durable",favorite perfume shop have bought here several times and always satisfied friendly service and the perfume is long lasting and durable,favorite perfume shop have bought here several times and always satisfied friendly service and the perfume is long lasting and durable,Positif
Nelson Neoæœ¬å°åˆ©å¤§,2 months ago,Now can find this premium scent in TRX KL Malaysia! Love it!,now can find this premium scent in trx kl malaysia love it,now can find this premium scent in trx kalau malaysia love it,Positif
Rizal Andani,2 months ago,"Thank you, Sis Fauziah, very helpful in providing information for shopping at H&M.",thank you sis fauziah very helpful in providing information for shopping at h m,thank you sis fauziah very helpful in providing information for shopping at h m,Positif
Mohammad Zainuddi,2 months ago,Nice n staff friendly,nice n staff friendly,nice n staff friendly,Positif
Gulgul generation,2 months ago,A great service from Nichol...,a great service from nichol,a great service from nichol,Positif
Nadia Shah,2 months ago,Best service by all staff especially Nichols. Scents are lovely and worth the price!,best service by all staff especially nichols scents are lovely and worth the price,best service by all staff especially nichols scents are lovely and sepadan the price,Positif
amy lia,2 months ago,The perfumes smell so nice. Bought the alpha and Farhampton.,the perfumes smell so nice bought the alpha and farhampton,the perfumes smell so nice bought the alpha and farhampton,Positif
fatmahabkadir,2 months ago,good product,good product,good product,Positif
anith ramli,2 months ago,Best customer service!,best customer service,best customer service,Positif
Haver Yesayas Kaunang,2 months ago,Very good service.. always complete variants!,very good service always complete variants,very good service always complete variants,Positif
lielie s5,2 months ago,"The store is neat and clean, the service is friendly, the staff...",the store is neat and clean the service is friendly the staff,the store is neat and clean the service is friendly the staff,Positif
Qish Shirmy,2 months ago,Nichol & Dewi very attentive . Great help when dilemma to choose ! Thanks!,nichol dewi very attentive great help when dilemma to choose thanks,nichol dewi very attentive great help when dilemma to choose thanks,Positif
norlizaabdullah abuhassan,2 months ago,Very helpful n many stock,very helpful n many stock,very helpful n many stock,Positif
Farah Shafie,2 months ago,Promoter very helpful we like it,promoter very helpful we like it,promoter very helpful we like it,Positif
Nurul Shayhira,2 months ago,It smells so good.,it smells so good,it smells so good,Positif
IZZAY SINGIN,2 months ago,Good and best smelling perfume,good and best smelling perfume,good and best smelling perfume,Positif
Ain Nabila,2 months ago,"If you want to buy HMNS, go buy it here. Friendly promoter and good service. Lurve from MalaysiaðŸ«¶ â€¦",if you want to buy hmns go buy it here friendly promoter and good service lurve from malaysiaðÿ â,if you want to buy hmns go buy it here friendly promoter and good service lurve from malaysiaðÿ â,Positif
Sabrina Rashid,2 months ago,Good services! Greetings from Malaysia,good services greetings from malaysia,good services greetings from malaysia,Positif
Fitry Munthe,2 months ago,Smells so good.,smells so good,smells so good,Positif
Aditya Rafaell,2 months ago,Very very satisfied,very very satisfied,very very satisfied,Positif
Faiq Abdul,2 months ago,the perfume is really great,the perfume is really great,the perfume is really great,Positif
Firdaus Ahmad,2 months ago,"I visited HMNS at Grand Indonesia West Mall (Jakarta) to assess both the retail environment and the personalized fragrance guidance offered by their Scent Philosophers, particularly Dewi. The flagship presence of HMNS in a high-traffic, upscale mall reflects a deliberate positioning of the brand as accessible yet curated.",i visited hmns at grand indonesia west mall jakarta to assess both the retail environment and the personalized fragrance guidance offered by their scent philosophers particularly dewi the flagship presence of hmns in a high traffic upscale mall reflects a deliberate positioning of the brand as accessible yet curated,i visited hmns at grand indonesia west mall jakarta to assess both the retail environment and the personalized fragrance guidance offered by their scent philosophers particularly dewi the flagship presence of hmns in a high traffic upscale mall reflects a deliberate positioning of the brand as accessible yet curated,Netral
nur shahirah,2 months ago,"The service is very good, the staff is friendly and helpful. The smell is long-lasting and the price is worth it. The shop is also neat and comfortable. Highly recommended! And you get free perfume too, thank you Dewi and Rike ðŸ˜˜ â€¦",the service is very good the staff is friendly and helpful the smell is long lasting and the price is worth it the shop is also neat and comfortable highly recommended and you get free perfume too thank you dewi and rike ðÿ â,the service is very good the staff is friendly and helpful the smell is long lasting and the price is sepadan it the shop is also neat and comfortable highly recommended and you get free perfume too thank you dewi and rike ðÿ â,Positif
Michelle Aprilita,2 months ago,good services,good services,good services,Positif
Whelly Yuliana,2 months ago,"Very satisfying service, I like it",very satisfying service i like it,very satisfying service i like it,Netral
Noor Iliana,2 months ago,the perfume smells so good and the service is on top!!,the perfume smells so good and the service is on top,the perfume smells so good and the service is on top,Positif
Helena Hamzah,2 months ago,Very good service by staff,very good service by staff,very good service by staff,Positif
Noor Shasha,2 months ago,Very Good Sales Associate and very good perfume for an indonesian brand ðŸ«¶ðŸ» â€¦,very good sales associate and very good perfume for an indonesian brand ðÿ ðÿ â,very good sales associate and very good perfume for an indonesian brand ðÿ ðÿ â,Positif
IZF ENGINEERING SB,2 months ago,"Have a great experience attended by Salesperson, Dewi..",have a great experience attended by salesperson dewi,have a great experience attended by salesperson dewi,Positif
Muhammad Fuad Martha,2 months ago,"Good Promo Buy 3 Get 1, Good Sales Lutfi, Adri, Aul",good promo buy get good sales lutfi adri aul,good promo buy get good sales lutfi adri aul,Positif
Bird88 Rmy,2 months ago,great service! â˜º,great service â º,great service â º,Positif
Dylla Azza,2 months ago,Good service..very cheap price..smells great,good service very cheap price smells great,good service very cheap price smells great,Positif
Nor farahuda,2 months ago,the best perfume ever,the best perfume ever,the best perfume ever,Positif
Syed Nadzeem,2 months ago,Best recommendation by Dewi,best recommendation by dewi,best recommendation by dewi,Positif
Qaid Qasir,2 months ago,"Nice smell, good service, tq mbak aulia, agry, sidiq and dewi, good job guys",nice smell good service tq mbak aulia agry sidiq and dewi good job guys,nice smell good service tq mbak aulia agry sidiq and dewi good job guys,Positif
McDann,2 months ago,"agry,aulia...thanksss",agry aulia thankss,agry aulia thankss,Netral
Azureen Batrisyia,2 months ago,"Love the experience in hmns grand indonesia ðŸ¤ðŸ¤ especially with SA with Aulia, Agry, Sidiq & Dewi  !! â€¦",love the experience in hmns grand indonesia ðÿ ðÿ especially with sa with aulia agry sidiq dewi â,love the experience in hmns grand indonesia ðÿ ðÿ especially with sa with aulia agry sidiq dewi â,Positif
balqish nasthasa,2 months ago,"Aulia, Agry & Sidiq good serviceee !! 100%",aulia agry sidiq good servicee,aulia agry sidiq good servicee,Positif
idayu hashim,2 months ago,Aulia & Agry good service from them !!,aulia agry good service from them,aulia agry good service from them,Positif
raca capu,2 months ago,"The lady is friendly and the perfume is really the best, HONESTLY",the lady is friendly and the perfume is really the best honestly,the lady is friendly and the perfume is really the best honestly,Positif
reni rosanti,2 months ago,The scent is addictive. The service is friendly and explains the aromas in detail.,the scent is addictive the service is friendly and explains the aromas in detail,the scent is addictive the service is friendly and explains the aromas in detail,Positif
Fauziah Azima,2 months ago,"One of the recommended perfumes, from the fragrance to the packaging to the price, it's really good",one of the recommended perfumes from the fragrance to the packaging to the price it s really good,one of the recommended perfumes from the fragrance to the kemasan to the price it s really good,Positif
desrina jr,2 months ago,"Ladies, be goodðŸ¤— â€¦",ladies be goodðÿ â,ladies be goodðÿ â,Positif
NAZRIN SHAH,2 months ago,staffnya nama Agry & Aulia the best service give for me,staffnya nama agry aulia the best service give for me,staffnya nama agry aulia the best service give for me,Positif
anak Kambing,2 months ago,everything is the best . Agry n aulia is the best ! ðŸ‘ðŸ»ðŸ‘ðŸ» â€¦,everything is the best agry n aulia is the best ðÿ ðÿ ðÿ ðÿ â,everything is the best agry n aulia is the best ðÿ ðÿ ðÿ ðÿ â,Positif
Elyss Faisal,2 months ago,Very friendly staff and good service - definitely recommend coming here!,very friendly staff and good service definitely recommend coming here,very friendly staff and good service definitely recommend coming here,Positif
Ledina Bahasuan,2 months ago,Store: Neat and clean,store neat and clean,store neat and clean,Netral
Intan Andhini,2 months ago,"The service is very good, and very friendly.",the service is very good and very friendly,the service is very good and very friendly,Positif
