USERNAME,TIME,REVIEW,text_clean
Maisaroh dairypro,a year ago,The perfume is really good.....recommended,the perfume is really good recommended
10_14_Yunita Dwi Lestari,a year ago,"Good, friendly service",good friendly service
dinun arzana,a year ago,"Good, lots of choices",good lots of choices
marka narendra,a year ago,"worth the price, fragrant",worth the price fragrant
hana attaumi,a year ago,ðŸ¤ðŸ¤ðŸ¤ðŸ¤ðŸ¤ðŸ¤ â€¦,ðÿ ðÿ ðÿ ðÿ ðÿ ðÿ â
yurike kunardewi,a year ago,"Friendly service, and requests for more than two testers are still accepted. Success and growing sales, sis.",friendly service and requests for more than two testers are still accepted success and growing sales sis
Dewaputra 1986,a year ago,"Friendly, fast service...",friendly fast service
Calvin,a year ago,"I really enjoyed shopping for perfume here. The service is excellent, friendly, and very good. The perfume is highly recommended and won't break the bank. The scent is perfect for everyday use, picking up kids from school, social gatherings, or just hanging out at the mall and shopping at the supermarket.",i really enjoyed shopping for perfume here the service is excellent friendly and very good the perfume is highly recommended and won t break the bank the scent is perfect for everyday use picking up kids from school social gatherings or just hanging out at the mall and shopping at the supermarket
Reza Herma,a year ago,"This is my first time buying here, and I immediately fell in love with the Halloween and Her products. I'm a regular, but I hope they last. Keep up the good work, HS.",this is my first time buying here and i immediately fell in love with the halloween and her products i m a regular but i hope they last keep up the good work hs
Selsa Bathari Trixie Tsabita,a year ago,the service is great! beautiful brother,the service is great beautiful brother
Arino Theara,a year ago,"Very helpful staff, first time ever buy perfume here and they leave a good impression.",very helpful staff first time ever buy perfume here and they leave a good impression
Anma,a year ago,Nice place to buy perfumeâœ¨âœ¨,nice place to buy perfumeâœ âœ
Izzah Rahilatissafira,a year ago,5 star service,star service
Endah Priyanti,a year ago,"Great, bro, friendly, Poul",great bro friendly poul
Mesri Ayu Ningsih,a year ago,"Thank you, bro, the service is great, highly recommendedâ¤ï¸",thank you bro the service is great highly recommendedâ ï
uci wulandari,a year ago,"They said it lasts a long time, I bought the 180 thousand one, but after a few hours there was no smell. I told my friend that I bought a perfume that cost 180k. She said ""hahhhh it's really expensive"". The sales lady was also not very â€¦",they said it lasts a long time i bought the thousand one but after a few hours there was no smell i told my friend that i bought a perfume that cost k she said hahh it s really expensive the sales lady was also not very â
Salsabella Aurelia,a year ago,I've bought the expensive one but the smell doesn't last long even though they say it lasts a long time,i ve bought the expensive one but the smell doesn t last long even though they say it lasts a long time
Dita Amanda,a year ago,"The smell doesn't last, just spray it and the smell is gone, the price is 180k but it's not worth it at all",the smell doesn t last just spray it and the smell is gone the price is k but it s not worth it at all
Khamidatur R,a year ago,"not durable but expensive, not worth it.",not durable but expensive not worth it
Muhammad Rafi,a year ago,"good service, keep it upðŸ˜ â€¦",good service keep it upðÿ â
Yuana Yuant,a year ago,Ramahhh2 mbk nya,ramahh mbk nya
Irma Rahmadania,a year ago,delicious lol,delicious lol
Ulfatuzz Zahroh,a year ago,"good service, good recom, good comunication",good service good recom good comunication
Ema lenita Anjelina,a year ago,Highly recommended,highly recommended
Hafizh A.,a year ago,"The quality of the perfume is good, the service is also friendly and goodðŸ‘ðŸ‘ðŸ‘ â€¦",the quality of the perfume is good the service is also friendly and goodðÿ ðÿ ðÿ â
Gabriella Caroline,a year ago,"""The variants are delicious""",the variants are delicious
Elisabeth Apriliani,a year ago,"The perfume is really great and smells great, there are lots of choices too, it's really greatðŸ¤©ðŸ¤© â€¦",the perfume is really great and smells great there are lots of choices too it s really greatðÿ ðÿ â
Vindy Maulinna,a year ago,"The perfume is nice, the service is friendly",the perfume is nice the service is friendly
308_Hilda Urliajs,a year ago,"The lady is really fun, there are lots of choices of perfume that we want and the perfume that we choose is right. Just tell us what kind of perfume scent you want.",the lady is really fun there are lots of choices of perfume that we want and the perfume that we choose is right just tell us what kind of perfume scent you want
Hardya Ariyadi,a year ago,"The place is clean and very aesthetic, plus the ladies are really friendly",the place is clean and very aesthetic plus the ladies are really friendly
Della Friska Dewanti,a year ago,"The perfume is addictive, the service is good",the perfume is addictive the service is good
twisty henras,a year ago,Complete perfume store,complete perfume store
Bella SAN,a year ago,LOVE IT SO MUCH!!!,love it so much
Deni Pratama,a year ago,"The service is friendly, there are lots of perfume variants tooðŸ”¥ â€¦",the service is friendly there are lots of perfume variants tooðÿ â
fatimah azzahra,a year ago,The service is really good and it smells good too,the service is really good and it smells good too
Muhammad Munir,a year ago,Playanan very good,playanan very good
Ferdinand Rio,a year ago,the best perfume place in Malang,the best perfume place in malang
Rani Ariefah,a year ago,Fast service...friendly...go ahead and buy perfume here,fast service friendly go ahead and buy perfume here
Muchammad Ryan Afif,a year ago,"friendly service, nice smell, quite varied",friendly service nice smell quite varied
erlang jeuram niaga,13 hours ago,Friendly and smiling service. Very fast response.,friendly and smiling service very fast response
hayat Mukhtar,17 hours ago,Best service...best perfume...best Nichol service...ready to explain everything you ask,best service best perfume best nichol service ready to explain everything you ask
nurul akmar nutman akmar,17 hours ago,Perfect smell!!!,perfect smell
Pasukan Bawang,17 hours ago,HMNS the only best perfume in universe.,hmns the only best perfume in universe
Amir Haha,17 hours ago,the best perfume indonesian ever made. HMNS is my soul.,the best perfume indonesian ever made hmns is my soul
Rizky Hidayat,18 hours ago,A seamless experience buying a perfume at this offline store. Nichol the guy serving me today was very hospitable and welcoming! Thank you,a seamless experience buying a perfume at this offline store nichol the guy serving me today was very hospitable and welcoming thank you
Hafiz Irshad,a day ago,"The experience is very good, the smell is long lasting, the price is okay. Highly recommend, it's superb!!",the experience is very good the smell is long lasting the price is okay highly recommend it s superb
Virgo Hando,a day ago,It smells good...and the service from Kak Agri is really good...it really sells well,it smells good and the service from kak agri is really good it really sells well
Azura Rahim,a day ago,"Good services.Agrea, very friendly & helpful service",good services agrea very friendly helpful service
Hafiz Hamid,3 days ago,Staff very friendly! Thanks to Hafis for entertaining me and wife. Pray for the best! Thank you again ,staff very friendly thanks to hafis for entertaining me and wife pray for the best thank you again
Laurentco,a week ago,"The service was very friendly, and the lady helped explain the products clearly. The display area was neat and complete.",the service was very friendly and the lady helped explain the products clearly the display area was neat and complete
Yohanes Edward,a week ago,"Great service, Good quality",great service good quality
Sofian Sudirman,a week ago,"Very good experience, very helpful especially Nichol! Mantap!",very good experience very helpful especially nichol mantap
Dita Anggraeni,a week ago,"An exceptional shopping experience at HMNS Jakarta. The staff was incredibly helpfulâ€”offering recommendations that perfectly matched my taste. Friendly, knowledgeable, and made the whole process enjoyable. Highly recommended! âœ¨",an exceptional shopping experience at hmns jakarta the staff was incredibly helpfulâ offering recommendations that perfectly matched my taste friendly knowledgeable and made the whole process enjoyable highly recommended âœ
enny zaki,a week ago,Good service..... Very friendly..... Nice smell we bought 12 item....,good service very friendly nice smell we bought item
Suryani Haron,a week ago,good customer serviceðŸ‘ðŸ½ðŸ‘ðŸ½ðŸ‘ðŸ½ â€¦,good customer serviceðÿ ðÿ ½ðÿ ðÿ ½ðÿ ðÿ ½ â
Farhani Aqilah,a week ago,Smell so good. The seller so nice.,smell so good the seller so nice
Evana Ardelia Rein,2 weeks ago,"Friendly service, very helpful, thank you Mba Agry and Mba Aulia",friendly service very helpful thank you mba agry and mba aulia
Faradilla Kamarulkhizan,2 weeks ago,Good service ðŸ‘ðŸ‘ðŸ‘ðŸ‘ â€¦,good service ðÿ ðÿ ðÿ ðÿ â
Devia Ksyaw,3 weeks ago,masss nicholl very good the bestt,mass nicholl very good the bestt
pindi nurjunifar,a month ago,"I really like the scent, I've repurchased it many times and I really like it. I was served by Agry, she was very friendly and very informative, I really love AgryðŸ’™ â€¦",i really like the scent i ve repurchased it many times and i really like it i was served by agry she was very friendly and very informative i really love agryðÿ â
astromoonstars,a month ago,The fragrances are varied and last for 6-8 hours. Agry's service is very informative and very friendly. ðŸ«¶ðŸ» â€¦,the fragrances are varied and last for hours agry s service is very informative and very friendly ðÿ ðÿ â
Ameer Haikal,a month ago,Excellent service from the staff. Superb,excellent service from the staff superb
Ina Wijaya,a month ago,Meet with the friendly person at the store...SUCCESS.,meet with the friendly person at the store success
Alba,a month ago,"Thank you for your assistance and kindness dear kak Nichol and kak Aul. Xoxo, Becky ðŸ«¶ â€¦",thank you for your assistance and kindness dear kak nichol and kak aul xoxo becky ðÿ â
Retno Triwijayanti,a month ago,"The staff were very helpful and informative, and they were really cool. ðŸ‘ðŸ¼",the staff were very helpful and informative and they were really cool ðÿ ðÿ ¼
Angela Roberto,a month ago,"Plus, you'll get a linen spray sample, a pouch voucher, and free perfume. Go local! ðŸ¤ â€¦",plus you ll get a linen spray sample a pouch voucher and free perfume go local ðÿ â
crohmosphere,a month ago,"HIGHLY RECOMMENDED, THE MASTERS ARE VERY FRIENDLY ðŸ˜˜ðŸ˜˜ðŸ˜˜ really allowed to try to use as many as possible so you know which one to buy, the price was also very surprising because it was still cheap?? in shopee the price is around 300, here it â€¦",highly recommended the masters are very friendly ðÿ ðÿ ðÿ really allowed to try to use as many as possible so you know which one to buy the price was also very surprising because it was still cheap in shopee the price is around here it â
Afif Azfar,a month ago,BEST GILA SHOPPING,best gila shopping
Henrick Boen,a month ago,"great service, nice parfume collection ðŸ¤ðŸ’œ â€¦",great service nice parfume collection ðÿ ðÿ œ â
Shahira Syahidah,a month ago,staff very friendly ðŸ‘ðŸ» â€¦,staff very friendly ðÿ ðÿ â
Amirul Amrey,a month ago,Best service ever â¤ï¸â¤ï¸,best service ever â ï â ï
Jazlan Ahmad,a month ago,"Great service, nice offer, recommended!",great service nice offer recommended
Naufal Fajrian,a month ago,"Great, the service is good, recommended, you must come here",great the service is good recommended you must come here
G L,a month ago,Nabil great job,nabil great job
Nadya Nathalia,a month ago,Beli Alpha sama Sore fragrance mist.. love the smell!,beli alpha sama sore fragrance mist love the smell
Roselin Agustina,a month ago,My fave unrosed.. You have to try,my fave unrosed you have to try
fatihah zumara,2 months ago,"First time coming to Jakarta because there are lots of viral items, and then I saw someone reviewing them on TikTok and then I came here because I was feeling FOMO, wkkk",first time coming to jakarta because there are lots of viral items and then i saw someone reviewing them on tiktok and then i came here because i was feeling fomo wkk
Nur Adilah,2 months ago,The perfume is very fragrant!! The staff here are very friendly and helpful,the perfume is very fragrant the staff here are very friendly and helpful
Muhammad Nabil,2 months ago,"Cheap perfume and it smells great, just go ahead, recommend staff name Aulia",cheap perfume and it smells great just go ahead recommend staff name aulia
Nurul Fattahiah,2 months ago,"The perfume here is the best! The staff, Aulia, is very kind! Service 5â­",the perfume here is the best the staff aulia is very kind service â
NORIYAH BINTI ZAKARIA (MOHR),2 months ago,Nichol as the salesmen explained very well,nichol as the salesmen explained very well
Aishah Abdullah,2 months ago,The best perfume ever n also the best service ever,the best perfume ever n also the best service ever
Nugroho Prananto,2 months ago,"favorite perfume shop, have bought here several times and always satisfied, friendly service, and the perfume is long lasting and durable",favorite perfume shop have bought here several times and always satisfied friendly service and the perfume is long lasting and durable
Nelson Neoæœ¬å°åˆ©å¤§,2 months ago,Now can find this premium scent in TRX KL Malaysia! Love it!,now can find this premium scent in trx kl malaysia love it
Rizal Andani,2 months ago,"Thank you, Sis Fauziah, very helpful in providing information for shopping at H&M.",thank you sis fauziah very helpful in providing information for shopping at h m
Mohammad Zainuddi,2 months ago,Nice n staff friendly,nice n staff friendly
Gulgul generation,2 months ago,A great service from Nichol...,a great service from nichol
Nadia Shah,2 months ago,Best service by all staff especially Nichols. Scents are lovely and worth the price!,best service by all staff especially nichols scents are lovely and worth the price
amy lia,2 months ago,The perfumes smell so nice. Bought the alpha and Farhampton.,the perfumes smell so nice bought the alpha and farhampton
fatmahabkadir,2 months ago,good product,good product
anith ramli,2 months ago,Best customer service!,best customer service
Haver Yesayas Kaunang,2 months ago,Very good service.. always complete variants!,very good service always complete variants
lielie s5,2 months ago,"The store is neat and clean, the service is friendly, the staff...",the store is neat and clean the service is friendly the staff
Qish Shirmy,2 months ago,Nichol & Dewi very attentive . Great help when dilemma to choose ! Thanks!,nichol dewi very attentive great help when dilemma to choose thanks
norlizaabdullah abuhassan,2 months ago,Very helpful n many stock,very helpful n many stock
Farah Shafie,2 months ago,Promoter very helpful we like it,promoter very helpful we like it
Nurul Shayhira,2 months ago,It smells so good.,it smells so good
IZZAY SINGIN,2 months ago,Good and best smelling perfume,good and best smelling perfume
Ain Nabila,2 months ago,"If you want to buy HMNS, go buy it here. Friendly promoter and good service. Lurve from MalaysiaðŸ«¶ â€¦",if you want to buy hmns go buy it here friendly promoter and good service lurve from malaysiaðÿ â
Sabrina Rashid,2 months ago,Good services! Greetings from Malaysia,good services greetings from malaysia
Fitry Munthe,2 months ago,Smells so good.,smells so good
Aditya Rafaell,2 months ago,Very very satisfied,very very satisfied
Faiq Abdul,2 months ago,the perfume is really great,the perfume is really great
Firdaus Ahmad,2 months ago,"I visited HMNS at Grand Indonesia West Mall (Jakarta) to assess both the retail environment and the personalized fragrance guidance offered by their Scent Philosophers, particularly Dewi. The flagship presence of HMNS in a high-traffic, upscale mall reflects a deliberate positioning of the brand as accessible yet curated.",i visited hmns at grand indonesia west mall jakarta to assess both the retail environment and the personalized fragrance guidance offered by their scent philosophers particularly dewi the flagship presence of hmns in a high traffic upscale mall reflects a deliberate positioning of the brand as accessible yet curated
nur shahirah,2 months ago,"The service is very good, the staff is friendly and helpful. The smell is long-lasting and the price is worth it. The shop is also neat and comfortable. Highly recommended! And you get free perfume too, thank you Dewi and Rike ðŸ˜˜ â€¦",the service is very good the staff is friendly and helpful the smell is long lasting and the price is worth it the shop is also neat and comfortable highly recommended and you get free perfume too thank you dewi and rike ðÿ â
Michelle Aprilita,2 months ago,good services,good services
Whelly Yuliana,2 months ago,"Very satisfying service, I like it",very satisfying service i like it
Noor Iliana,2 months ago,the perfume smells so good and the service is on top!!,the perfume smells so good and the service is on top
Helena Hamzah,2 months ago,Very good service by staff,very good service by staff
Noor Shasha,2 months ago,Very Good Sales Associate and very good perfume for an indonesian brand ðŸ«¶ðŸ» â€¦,very good sales associate and very good perfume for an indonesian brand ðÿ ðÿ â
IZF ENGINEERING SB,2 months ago,"Have a great experience attended by Salesperson, Dewi..",have a great experience attended by salesperson dewi
Muhammad Fuad Martha,2 months ago,"Good Promo Buy 3 Get 1, Good Sales Lutfi, Adri, Aul",good promo buy get good sales lutfi adri aul
Bird88 Rmy,2 months ago,great service! â˜º,great service â º
Dylla Azza,2 months ago,Good service..very cheap price..smells great,good service very cheap price smells great
Nor farahuda,2 months ago,the best perfume ever,the best perfume ever
Syed Nadzeem,2 months ago,Best recommendation by Dewi,best recommendation by dewi
Qaid Qasir,2 months ago,"Nice smell, good service, tq mbak aulia, agry, sidiq and dewi, good job guys",nice smell good service tq mbak aulia agry sidiq and dewi good job guys
McDann,2 months ago,"agry,aulia...thanksss",agry aulia thankss
Azureen Batrisyia,2 months ago,"Love the experience in hmns grand indonesia ðŸ¤ðŸ¤ especially with SA with Aulia, Agry, Sidiq & Dewi  !! â€¦",love the experience in hmns grand indonesia ðÿ ðÿ especially with sa with aulia agry sidiq dewi â
balqish nasthasa,2 months ago,"Aulia, Agry & Sidiq good serviceee !! 100%",aulia agry sidiq good servicee
idayu hashim,2 months ago,Aulia & Agry good service from them !!,aulia agry good service from them
raca capu,2 months ago,"The lady is friendly and the perfume is really the best, HONESTLY",the lady is friendly and the perfume is really the best honestly
reni rosanti,2 months ago,The scent is addictive. The service is friendly and explains the aromas in detail.,the scent is addictive the service is friendly and explains the aromas in detail
Fauziah Azima,2 months ago,"One of the recommended perfumes, from the fragrance to the packaging to the price, it's really good",one of the recommended perfumes from the fragrance to the packaging to the price it s really good
desrina jr,2 months ago,"Ladies, be goodðŸ¤— â€¦",ladies be goodðÿ â
NAZRIN SHAH,2 months ago,staffnya nama Agry & Aulia the best service give for me,staffnya nama agry aulia the best service give for me
anak Kambing,2 months ago,everything is the best . Agry n aulia is the best ! ðŸ‘ðŸ»ðŸ‘ðŸ» â€¦,everything is the best agry n aulia is the best ðÿ ðÿ ðÿ ðÿ â
Elyss Faisal,2 months ago,Very friendly staff and good service - definitely recommend coming here!,very friendly staff and good service definitely recommend coming here
Ledina Bahasuan,2 months ago,Store: Neat and clean,store neat and clean
Intan Andhini,2 months ago,"The service is very good, and very friendly.",the service is very good and very friendly
Haura Liew,2 months ago,"The scent ORGSM smells absolutely amazing â€” rich, captivating and very addictive. It lasted around 6â€“7 hours on me while staying indoors, which is impressive. â€¦",the scent orgsm smells absolutely amazing â rich captivating and very addictive it lasted around â hours on me while staying indoors which is impressive â
Ririn,2 months ago,The staff is really great. I've been using hmns for 5 years and I really like itðŸ¥° â€¦,the staff is really great i ve been using hmns for years and i really like itðÿ â
iman danisha,2 months ago,"Good service from ms dewi, TQ! had fun trying the perfumeee",good service from ms dewi tq had fun trying the perfumee
Iza Emilia,2 months ago,Great services by Dewi & Sidiq during our perfumes purchase here.,great services by dewi sidiq during our perfumes purchase here
Survieyan R,2 months ago,It smells good... the staff are helpful and friendly,it smells good the staff are helpful and friendly
Dicky DS,2 months ago,Everything is complete and fragrant if you buy it here,everything is complete and fragrant if you buy it here
Vandana Nursantri Gusti Putri,2 months ago,Always get discounts here. Complete range of products. The best!,always get discounts here complete range of products the best
Nazlin Mohd Nazari,2 months ago,These employees are really good!!!,these employees are really good
Dian Eka Anggraini,2 months ago,The first and most comprehensive HMNS outlet,the first and most comprehensive hmns outlet
tri ratna,2 months ago,"I really like the scent of the perfume, the service is also very friendly and helpfulðŸ‘ðŸ‘ â€¦",i really like the scent of the perfume the service is also very friendly and helpfulðÿ ðÿ â
rahmawati heryanto,2 months ago,"Finally, I was able to sniff the perfume I was looking for and it turned out I liked it, so I immediately wrapped it up... with the help of my super helpful sister â¤ï¸",finally i was able to sniff the perfume i was looking for and it turned out i liked it so i immediately wrapped it up with the help of my super helpful sister â ï
Nazira Moulidannisa,2 months ago,The fragrances are unique and interesting it makes me drawn to it. Love the humble staffs too! very helpful. Would definitely come back.,the fragrances are unique and interesting it makes me drawn to it love the humble staffs too very helpful would definitely come back
pwony,2 months ago,The service is very good and informative,the service is very good and informative
Noor Azmunifah Binti Noorzain,2 months ago,agry . good service,agry good service
Iing Ing,3 months ago,"I bought HMNS at the GI store and was served by the sales representative, Shidiq, who was very friendly, helpful, and also had excellent product knowledge.",i bought hmns at the gi store and was served by the sales representative shidiq who was very friendly helpful and also had excellent product knowledge
amirah aryssa,3 months ago,"The sister who works at the store is so good, thank you, sister Agry!!!!",the sister who works at the store is so good thank you sister agry
Amirah Afiqah Mohd Nordin,3 months ago,Sis Agry is very friendly and patient in serving us. Lurveee,sis agry is very friendly and patient in serving us lurvee
Muhammad Reza,3 months ago,"Thumbs up for the product ""City of hope"" also Shout out to Mba Agry for the great afternoon smile & the jokes ðŸ˜…ðŸ™Œ â€¦",thumbs up for the product city of hope also shout out to mba agry for the great afternoon smile the jokes ðÿ ðÿ œ â
MAGDALENA SILALAHI,3 months ago,"The service is good, thank you, Ms. Aya.",the service is good thank you ms aya
Noor Aliya Noor Azlan,3 months ago,"Very good service, love the smells of the perfume",very good service love the smells of the perfume
Ulfarisya Umar,3 months ago,Nice local perfume,nice local perfume
Joan Roma Carolina,3 months ago,"had a great shopping experience. the perfume smells elegant and lasts long. Ms. Agry super helpful, kind, and friendly!!",had a great shopping experience the perfume smells elegant and lasts long ms agry super helpful kind and friendly
MS,3 months ago,the best local brand ðŸ˜®â€ðŸ’¨ â€¦,the best local brand ðÿ â ðÿ â
Bebalazi Immanuel,3 months ago,"Good service, Sis Sonia",good service sis sonia
Monika Elatranita,3 months ago,The official hmns store closest to my house.,the official hmns store closest to my house
Vivi Fitriyanti,3 months ago,Came to GI store to purchase Reed diffuser but the staff is not polite especially that mbak2 tidak ramah. Hopefully they can improve the service. Thank you,came to gi store to purchase reed diffuser but the staff is not polite especially that mbak tidak ramah hopefully they can improve the service thank you
Cikgu Shuhaiba,3 months ago,"Great service, great service. All the perfumes smell greatðŸ˜ðŸ˜ðŸ˜ðŸ˜ â€¦",great service great service all the perfumes smell greatðÿ ðÿ ðÿ ðÿ â
Joshua Christianto,3 months ago,Always love the hmns variant! One of the best local perfumes,always love the hmns variant one of the best local perfumes
Bagas aryo,3 months ago,"The sister is very kind, the service is friendly, the price is cheap",the sister is very kind the service is friendly the price is cheap
Cindy Sobrina,3 months ago,bessttt parfume i know,besstt parfume i know
Jonathan Tjandra,3 months ago,"Friendly staff, good scent, good deal",friendly staff good scent good deal
Romi Akbar,3 months ago,Indonesian scent that you should never miss to try,indonesian scent that you should never miss to try
ASTER MANAO,3 months ago,"Good perfume, friendly service",good perfume friendly service
april yantie,4 months ago,HMNS. The scent is good and long lasting.,hmns the scent is good and long lasting
Ari Ani,4 months ago,"The perfume smells great, the service is VERY FRIENDLY, the bestðŸ˜˜ â€¦",the perfume smells great the service is very friendly the bestðÿ â
Abdul Sgild,4 months ago,"The service is good, please provide more promotions.",the service is good please provide more promotions
Ratih Budiarti,4 months ago,good service and lots of promos,good service and lots of promos
mochammad syaiful Anwar,4 months ago,"The service is very good, don't hesitate to buy here",the service is very good don t hesitate to buy here
Riri Nisrina,4 months ago,"Great, lots of interesting promotions",great lots of interesting promotions
Aqilah Mis'ad,4 months ago,My second time here ðŸ¤­ Love all the perfume â€¦,my second time here ðÿ love all the perfume â
mohammad afiq abdullah,4 months ago,Good price,good price
sudarman lau,4 months ago,The service is friendly with a complete collection and easy to reach.,the service is friendly with a complete collection and easy to reach
Harief Afferoz,4 months ago,Best and must buy,best and must buy
Firhad Mohamed,4 months ago,"HMNS is fragrant & the best, it's the choice",hmns is fragrant the best it s the choice
Mohamad Fitri Basri,4 months ago,Good value and recommended,good value and recommended
Hakimi Maslan,4 months ago,The perfume at Jakarta â­ï¸â­ï¸â­ï¸â­ï¸â­ï¸,the perfume at jakarta â ï â ï â ï â ï â ï
Jack Setapak,4 months ago,Very good service. The perfume smells good and the price is affordable.,very good service the perfume smells good and the price is affordable
norra shah,4 months ago,best!!! recommend!!!,best recommend
wak doyok,4 months ago,The best store in town,the best store in town
Adhyatma Ega,4 months ago,The store is great and very complete,the store is great and very complete
FENNY EVRITA,4 months ago,"Bro, Nichol has nice lips...hehe",bro nichol has nice lips hehe
Okvitalita Sandra,4 months ago,Nichol okay de â€¦.,nichol okay de â
Dies Alawiyah,4 months ago,Brother Nichol is cool,brother nichol is cool
echa bmn,4 months ago,We sell quality perfume with a fresh scent and a reasonable price. Awesome ðŸ‘ðŸ‘ â€¦,we sell quality perfume with a fresh scent and a reasonable price awesome ðÿ ðÿ â
Ridho Alfianoor,4 months ago,"Cool, fragrant and friendly",cool fragrant and friendly
Nor Mahani Khamis,4 months ago,Very friendly & helpful. Nichol & Dewi.. very supportive.,very friendly helpful nichol dewi very supportive
Noor Azwadj Othman,4 months ago,Very friendly and helpful ..nichol and dewi,very friendly and helpful nichol and dewi
WanDa,4 months ago,Nichol dan Dewi very nice especially Nichol very knowlegable and warm. Will come again insyaAllah. All the way from Msia..,nichol dan dewi very nice especially nichol very knowlegable and warm will come again insyaallah all the way from msia
Yulitta Kristi,Edited 4 months ago,"Nice place, humble & helpful staffs, very good quality of products. Their perfumes smell really good!",nice place humble helpful staffs very good quality of products their perfumes smell really good
Listya Anggraeni,4 months ago,The ladies and gentlemen really help us in guiding the right fragrance for us to love,the ladies and gentlemen really help us in guiding the right fragrance for us to love
Juliana Seth,4 months ago,Best service from Dewi and Rike.. ðŸŒ¹ â€¦,best service from dewi and rike ðÿœ¹ â
Muhammad Zaid,4 months ago,Bought my first hmns product here. Nice shopping experience..,bought my first hmns product here nice shopping experience
Nur Alisa Mohamad Azri,4 months ago,One stop perfume place to go to that you guys should check out when in Jakarta.,one stop perfume place to go to that you guys should check out when in jakarta
Ayu Wulandari,4 months ago,Friendly all the employees love ðŸ«¶ðŸ»ðŸ«¶ðŸ» â€¦,friendly all the employees love ðÿ ðÿ ðÿ ðÿ â
Haris Khaer,4 months ago,"The staff are friendly, serve well and politely.",the staff are friendly serve well and politely
Marketing Sany,4 months ago,The og is the best,the og is the best
Purwa Prasetya,4 months ago,The perfume product is okay.,the perfume product is okay
fara yusof,4 months ago,Good morning,good morning
Rahila Rahman,4 months ago,best perfume,best perfume
Najla Hanifah,4 months ago,It smells really good,it smells really good
Atika Zahra,4 months ago,"The service very helpful especially kak nichol, eventho itâ€™s full of human, respect!",the service very helpful especially kak nichol eventho itâ s full of human respect
Nada Aprilia Febrin,4 months ago,nice experience trying on perfumes,nice experience trying on perfumes
Ahmad Thaqif Bin Anisham -,4 months ago,The service was superb.,the service was superb
Misbahul Huda,4 months ago,"A very good choice of perfumes, lots of variants",a very good choice of perfumes lots of variants
Nurul Nabilla,4 months ago,Love the staff very friendly and polite,love the staff very friendly and polite
Nor A.,4 months ago,"A must to visit when youâ€™re in Jakarta! I went to thr store in Alun Alum Indonesia and was attended by the scent philosopher, Nichol. He is very friendly! ðŸ©· â€¦",a must to visit when youâ re in jakarta i went to thr store in alun alum indonesia and was attended by the scent philosopher nichol he is very friendly ðÿ â
Puszafa zafarbel,4 months ago,"The scent philosopher Nichol was really nice,they had range of perfumes that you can definitely try.",the scent philosopher nichol was really nice they had range of perfumes that you can definitely try
rizka hutami,4 months ago,"Buy here, lots of gifts and promos ðŸ’“ðŸ’“ðŸ’“ â€¦",buy here lots of gifts and promos ðÿ ðÿ ðÿ â
Mahda Lisaldi,4 months ago,"I've shopped here twice, and the perfume is always nice.",i ve shopped here twice and the perfume is always nice
atika shahira,4 months ago,Sister Dewi and Sister Aulia give good service ðŸ˜ðŸ˜ðŸ˜ â€¦,sister dewi and sister aulia give good service ðÿ ðÿ ðÿ â
Shahrul Fuad,4 months ago,"Best, Sis Dewi & Sis Aulia good service ðŸ‘ðŸ» â€¦",best sis dewi sis aulia good service ðÿ ðÿ â
syarifah hidayati,4 months ago,"So excited at the store, got lots of freebies, yuhuuu",so excited at the store got lots of freebies yuhuu
Alda Nadya,4 months ago,Nice service,nice service
Ivana Natasha,4 months ago,"One of my fav local brands, they have unique scents and interesting story telling behind every product",one of my fav local brands they have unique scents and interesting story telling behind every product
Annisa Nurliana,4 months ago,best service and quality perfume,best service and quality perfume
Arumi Selana,4 months ago,The perfume is really good,the perfume is really good
syarifah amaliyah,4 months ago,It's so much fun here.,it s so much fun here
winda purnamasari,4 months ago,"It's really exciting, there are lots of good perfume scents for outdoors... the service is also good, lots of promos",it s really exciting there are lots of good perfume scents for outdoors the service is also good lots of promos
Ribut Ade Septiani,4 months ago,"Sir, Sir, you are very kind, very helpful",sir sir you are very kind very helpful
Muhammad Erza,4 months ago,Nice perfumes,nice perfumes
Lea Khalib,4 months ago,"Staff is very helpful and friendly, had a good time here!",staff is very helpful and friendly had a good time here
Elza Abelia,4 months ago,"Nicol staff, best service, gave me a try on the fragrance until I liked it.",nicol staff best service gave me a try on the fragrance until i liked it
Jovanna Abigail,4 months ago,"I've bought it again for the fourth time, never fails to amaze me",i ve bought it again for the fourth time never fails to amaze me
Nabiilah Astrid,4 months ago,"Friendly, fast, and clearly explained the product. It was a pleasure to receive such excellent service!",friendly fast and clearly explained the product it was a pleasure to receive such excellent service
Erna Putri,4 months ago,"The staff are absolutely amazing! From the moment I walked in, I was greeted in a friendly manner, and they explained the products in detail without being too long-winded. Their customer service was also pleasant, making me feel comfortable â€¦",the staff are absolutely amazing from the moment i walked in i was greeted in a friendly manner and they explained the products in detail without being too long winded their customer service was also pleasant making me feel comfortable â
flw tyne,4 months ago,"The service is top-notch! The staff are friendly, helpful, and explain HMNS products clearly yet relaxed. No matter what I ask, they answer patiently and help me choose the right one. Overall, shopping here is really comfortable.",the service is top notch the staff are friendly helpful and explain hmns products clearly yet relaxed no matter what i ask they answer patiently and help me choose the right one overall shopping here is really comfortable
